,vib_max,vib_min,vib_cur,accumulativeprofit,mins_mean_30,mins_ratio,cur_price,beginyear
SZ300563,0.199811498586,0.0,0.0459003530796,2.07663923123,21.9616666667,1.21211201336,26.62,2016
SZ002228,0.250773993808,0.00434782608696,0.0217917675545,2.09749869994,3.96166666667,1.05511148507,4.18,2008
SZ002730,0.202755453502,0.0,0.0319051959891,2.11884283665,10.8686666667,1.03968594737,11.3,2014
SH600639,0.217772215269,0.0,0.0178799489144,2.22258610847,4.37966666667,3.59844737042,15.76,2000
SZ300494,0.148965517241,0.0,0.0570512820513,1.23353246286,14.9393333333,1.07568387701,16.07,2015
SH600482,0.238095238095,0.0,0.0331098072087,11.9404084256,4.24833333333,5.73872106709,24.38,2004
SZ002919,0.16476426799,0.0,0.0590500641849,1.7729369812,27.634,1.16016501411,32.06,2017
SH600283,0.222421524664,0.0,0.041149068323,1.51061339977,3.19666666667,4.05735140772,12.97,2000
SZ002665,0.221018852788,0.0,0.0155763239875,2.51830956884,6.40033333333,1.01244726837,6.48,2012
SH603077,0.222343324251,0.0,0.0142857142857,1.67132911313,2.02833333333,1.04519309778,2.12,2012
SZ002235,0.221858370856,0.0,0.0434012400354,1.8917294149,6.208,1.87338917526,11.63,2008
SZ300432,0.219980475106,0.0,0.0250764525994,2.52895244675,16.1723333333,1.03200939877,16.69,2015
SH600660,0.173515981735,0.0,0.0306082913599,38.0968063962,4.043,6.43581498887,26.02,2000
SZ300072,0.22085048011,0.00927291886196,0.0249154106429,10.8383047527,9.71933333333,3.3592839015,32.65,2010
SH601801,0.222441917944,0.00558213716108,0.0537848605578,1.20670137982,9.15933333333,1.12344420991,10.29,2010
SH603665,0.20015576324,0.0,0.0307486631016,1.2051185433,31.043,1.21380021261,37.68,2017
SH600109,0.393887460726,0.0,0.0191616766467,2.76762796098,3.715,2.27725437416,8.46,2000
SZ002669,0.176154672395,0.0,0.030032848428,3.42559865974,10.178,2.1025741796,21.4,2012
SH600491,0.222353636901,0.0,0.0304518664047,5.47508422557,3.23833333333,3.22696860525,10.45,2004
SZ002516,0.222118959108,0.0,0.0221843003413,1.71014804691,5.21933333333,1.12849661515,5.89,2010
SH600328,0.219272369715,0.0,0.0301204819277,1.46814778275,3.856,2.64004149378,10.18,2000
SH600892,1.05882352941,0.0,0.0269709543568,0.834782343979,2.258,4.34898139947,9.82,2000
SZ000780,0.22641509434,0.0,0.0120967741935,0.626885398454,2.02666666667,2.46710526316,5.0,2000
SZ300029,0.223123732252,0.0,0.0194805194805,0.293083354085,5.67166666667,1.3734939759,7.79,2009
SH600793,0.243772241993,0.0,0.00681818181818,2.15074570906,3.05966666667,7.19359407343,22.01,2000
SH600315,0.160703812317,0.0,0.0282776349614,8.83288773333,4.616,7.79029462738,35.96,2001
SZ300310,0.206650831354,0.0,0.027105517909,4.25385281069,8.00266666667,1.30456514495,10.44,2012
SZ000593,0.218309859155,0.0,0.0175953079179,0.875772801655,2.57733333333,2.67718572168,6.9,2000
SH603556,0.199929478138,0.0,0.0352112676056,1.03252988307,34.7963333333,1.00096753489,34.83,2016
SZ300048,0.215127701375,0.0,0.0254237288136,0.715369187914,3.48433333333,1.02745623266,3.58,2010
SZ002215,0.222222222222,0.0,0.0425531914894,1.42019779043,6.46166666667,1.12664431261,7.28,2008
SH600726,0.221864951768,0.0,0.0817610062893,0.435183791456,2.17033333333,1.52971893718,3.32,2000
